Year,Round,EventName,DriverAbbr,Team,BestLapTime_s
2025,1,Australian Grand Prix,ALB,Williams,75.737
2025,1,Australian Grand Prix,ALO,Aston Martin,76.288
2025,1,Australian Grand Prix,ANT,Mercedes,76.525
2025,1,Australian Grand Prix,BOR,Kick Sauber,76.516
2025,1,Australian Grand Prix,DOO,Alpine,76.315
2025,1,Australian Grand Prix,GAS,Alpine,75.98
2025,1,Australian Grand Prix,HAD,Racing Bulls,76.175
2025,1,Australian Grand Prix,HAM,Ferrari,75.919
2025,1,Australian Grand Prix,HUL,Kick Sauber,76.579
2025,1,Australian Grand Prix,LAW,Red Bull Racing,77.094
2025,1,Australian Grand Prix,LEC,Ferrari,75.755
2025,1,Australian Grand Prix,NOR,McLaren,75.096
2025,1,Australian Grand Prix,OCO,Haas F1 Team,77.147
2025,1,Australian Grand Prix,PIA,McLaren,75.18
2025,1,Australian Grand Prix,RUS,Mercedes,75.546
2025,1,Australian Grand Prix,SAI,Williams,75.931
2025,1,Australian Grand Prix,STR,Aston Martin,76.369
2025,1,Australian Grand Prix,TSU,Racing Bulls,75.67
2025,1,Australian Grand Prix,VER,Red Bull Racing,75.481
2025,2,Chinese Grand Prix,ALB,Williams,91.503
2025,2,Chinese Grand Prix,ALO,Aston Martin,91.688
2025,2,Chinese Grand Prix,ANT,Mercedes,91.103
2025,2,Chinese Grand Prix,BEA,Haas F1 Team,92.018
2025,2,Chinese Grand Prix,BOR,Kick Sauber,92.141
2025,2,Chinese Grand Prix,DOO,Alpine,92.092
2025,2,Chinese Grand Prix,GAS,Alpine,91.992
2025,2,Chinese Grand Prix,HAD,Racing Bulls,91.079
2025,2,Chinese Grand Prix,HAM,Ferrari,90.927
2025,2,Chinese Grand Prix,HUL,Kick Sauber,91.632
2025,2,Chinese Grand Prix,LAW,Red Bull Racing,92.174
2025,2,Chinese Grand Prix,LEC,Ferrari,91.021
2025,2,Chinese Grand Prix,NOR,McLaren,90.787
2025,2,Chinese Grand Prix,OCO,Haas F1 Team,91.625
2025,2,Chinese Grand Prix,PIA,McLaren,90.641
2025,2,Chinese Grand Prix,RUS,Mercedes,90.723
2025,2,Chinese Grand Prix,SAI,Williams,91.628
2025,2,Chinese Grand Prix,STR,Aston Martin,91.773
2025,2,Chinese Grand Prix,TSU,Racing Bulls,91.238
2025,2,Chinese Grand Prix,VER,Red Bull Racing,90.817
2025,3,Japanese Grand Prix,ALB,Williams,87.615
2025,3,Japanese Grand Prix,ALO,Aston Martin,87.897
2025,3,Japanese Grand Prix,ANT,Mercedes,87.555
2025,3,Japanese Grand Prix,BEA,Haas F1 Team,87.711
2025,3,Japanese Grand Prix,BOR,Kick Sauber,88.622
2025,3,Japanese Grand Prix,DOO,Alpine,88.877
2025,3,Japanese Grand Prix,GAS,Alpine,87.822
2025,3,Japanese Grand Prix,HAD,Racing Bulls,87.569
2025,3,Japanese Grand Prix,HAM,Ferrari,87.61
2025,3,Japanese Grand Prix,HUL,Kick Sauber,88.57
2025,3,Japanese Grand Prix,LAW,Racing Bulls,87.906
2025,3,Japanese Grand Prix,LEC,Ferrari,87.299
2025,3,Japanese Grand Prix,NOR,McLaren,86.995
2025,3,Japanese Grand Prix,OCO,Haas F1 Team,88.696
2025,3,Japanese Grand Prix,PIA,McLaren,87.027
2025,3,Japanese Grand Prix,RUS,Mercedes,87.318
2025,3,Japanese Grand Prix,SAI,Williams,87.836
2025,3,Japanese Grand Prix,STR,Aston Martin,89.271
2025,3,Japanese Grand Prix,TSU,Red Bull Racing,87.967
2025,3,Japanese Grand Prix,VER,Red Bull Racing,86.983
2025,4,Bahrain Grand Prix,ALB,Williams,92.04
2025,4,Bahrain Grand Prix,ALO,Aston Martin,91.634
2025,4,Bahrain Grand Prix,ANT,Mercedes,90.213
2025,4,Bahrain Grand Prix,BEA,Haas F1 Team,92.373
2025,4,Bahrain Grand Prix,BOR,Kick Sauber,92.186
2025,4,Bahrain Grand Prix,DOO,Alpine,91.245
2025,4,Bahrain Grand Prix,GAS,Alpine,90.216
2025,4,Bahrain Grand Prix,HAD,Racing Bulls,91.271
2025,4,Bahrain Grand Prix,HAM,Ferrari,90.772
2025,4,Bahrain Grand Prix,HUL,Kick Sauber,91.693
2025,4,Bahrain Grand Prix,LAW,Racing Bulls,92.165
2025,4,Bahrain Grand Prix,LEC,Ferrari,90.175
2025,4,Bahrain Grand Prix,NOR,McLaren,90.267
2025,4,Bahrain Grand Prix,OCO,Haas F1 Team,91.594
2025,4,Bahrain Grand Prix,PIA,McLaren,89.841
2025,4,Bahrain Grand Prix,RUS,Mercedes,90.009
2025,4,Bahrain Grand Prix,SAI,Williams,90.68
2025,4,Bahrain Grand Prix,STR,Aston Martin,92.283
2025,4,Bahrain Grand Prix,TSU,Red Bull Racing,91.228
2025,4,Bahrain Grand Prix,VER,Red Bull Racing,90.423
2025,5,Saudi Arabian Grand Prix,ALB,Williams,88.109
2025,5,Saudi Arabian Grand Prix,ALO,Aston Martin,88.303
2025,5,Saudi Arabian Grand Prix,ANT,Mercedes,87.798
2025,5,Saudi Arabian Grand Prix,BEA,Haas F1 Team,88.536
2025,5,Saudi Arabian Grand Prix,BOR,Kick Sauber,89.462
2025,5,Saudi Arabian Grand Prix,DOO,Alpine,88.739
2025,5,Saudi Arabian Grand Prix,GAS,Alpine,88.025
2025,5,Saudi Arabian Grand Prix,HAD,Racing Bulls,88.418
2025,5,Saudi Arabian Grand Prix,HAM,Ferrari,88.102
2025,5,Saudi Arabian Grand Prix,HUL,Kick Sauber,88.782
2025,5,Saudi Arabian Grand Prix,LAW,Racing Bulls,88.191
2025,5,Saudi Arabian Grand Prix,LEC,Ferrari,87.67
2025,5,Saudi Arabian Grand Prix,NOR,McLaren,87.481
2025,5,Saudi Arabian Grand Prix,OCO,Haas F1 Team,89.092
2025,5,Saudi Arabian Grand Prix,PIA,McLaren,87.304
2025,5,Saudi Arabian Grand Prix,RUS,Mercedes,87.407
2025,5,Saudi Arabian Grand Prix,SAI,Williams,88.024
2025,5,Saudi Arabian Grand Prix,STR,Aston Martin,88.645
